postcode,population,mean_age,perc_foreigners,salary
401,162,50,0.0,17692.0
402,255,48,0.0,15682.0
403,346,45,0.0,16206.0
404,1972,44,0.03,15156.0
405,3240,42,0.02,16265.0
406,575,52,0.03,14640.0
407,462,40,0.01,15903.0
408,1157,49,0.02,15327.0
409,1212,40,0.04,16603.0
410,551,43,0.01,15196.0
411,58,42,0.01,17008.0
412,5235,43,0.02,16205.0
413,580,48,0.02,15266.0
414,2234,40,0.01,16176.0
415,6957,39,0.03,16819.0
416,1336,43,0.02,15928.0
417,1279,38,0.02,17107.0
418,1848,40,0.01,16239.0
419,697,36,0.02,16084.0
420,843,39,0.05,16507.0
421,757,37,0.02,16241.0
422,565,40,0.01,16850.0
423,15602,37,0.03,17703.0
424,1066,43,0.01,18417.0
425,7601,40,0.11,25313.0
426,5703,38,0.12,24197.0
427,335,45,0.18,27680.0
428,19243,37,0.36,24242.0
429,2299,44,0.17,21970.0
430,5654,41,0.17,22643.0
431,3679,43,0.18,24468.0
432,8037,35,0.33,24435.0
433,1320,36,0.35,25766.0
434,8717,41,0.16,24402.0
435,628,42,0.18,23601.0
436,6769,37,0.36,25001.0
437,20250,38,0.29,25629.0
438,305,46,0.29,24400.0
439,7922,36,0.31,24983.0
440,3060,39,0.32,24945.0
441,2154,39,0.32,24851.0
442,10319,35,0.28,25660.0
443,8161,38,0.39,25171.0
444,3424,38,0.4,24773.0
445,4405,37,0.3,24151.0
446,1204,36,0.29,24650.0
447,3547,38,0.45,24381.0
448,1210,41,0.27,23967.0
449,47571,43,0.51,25474.0
450,18100,44,0.44,25149.0
451,36163,45,0.38,20594.0
452,50823,44,0.32,23582.0
453,41760,41,0.23,26455.0
454,30869,44,0.19,25051.0
455,28541,42,0.19,30463.0
456,31324,44,0.17,25711.0
457,22126,46,0.22,23005.0
458,15985,46,0.19,22838.0
459,31958,41,0.18,24772.0
460,329,42,0.21,22499.0
461,29,40,0.11,23533.0
462,35556,44,0.18,24438.0
463,52005,42,0.21,22902.0
464,270,37,0.16,24586.0
465,52409,37,0.14,26920.0
466,8421,38,0.06,29016.0
467,841,38,0.04,25731.0
468,4903,38,0.07,26767.0
469,34232,39,0.11,26192.0
470,13721,37,0.13,26878.0
471,25331,35,0.09,27579.0
472,17186,39,0.1,29312.0
473,41422,37,0.17,25401.0
474,39615,38,0.13,26681.0
475,11776,38,0.06,29341.0
476,644,39,0.05,36339.0
477,1269,37,0.08,28390.0
478,3854,36,0.06,28089.0
479,22523,39,0.11,27513.0
480,9570,38,0.11,29948.0
481,6162,37,0.08,30061.0
482,28310,38,0.14,27298.0
483,10168,37,0.08,30551.0
484,8794,39,0.07,28290.0
485,19840,39,0.11,27694.0
486,74,39,0.13,23616.0
487,4626,43,0.06,24614.0
488,16075,36,0.12,18458.0
489,10257,40,0.13,20914.0
490,11775,41,0.1,23303.0
491,1102,41,0.1,25863.0
492,309,46,0.14,16289.0
493,427,47,0.06,22923.0
494,1294,46,0.03,23025.0
495,2474,42,0.01,16023.0
496,19,41,0.0,26747.0
497,140,46,0.06,17559.0
498,1050,35,0.01,18337.0
499,7057,36,0.02,18627.0
500,3960,36,0.01,18589.0
501,805,49,0.04,13587.0
502,2007,41,0.22,27091.0
503,5295,46,0.24,22335.0
504,7196,36,0.12,29549.0
505,299,44,0.02,23146.0
506,429,46,0.05,23313.0
507,1202,46,0.05,23318.0
508,860,46,0.04,23893.0
509,538,47,0.04,23863.0
510,1546,42,0.3,21040.0
511,254,49,0.6,18961.0
512,503,35,0.1,25396.0
513,442,49,0.14,26364.0
514,231,44,0.21,22594.0
515,1295,45,0.09,19765.0
516,754,45,0.1,19958.0
517,1838,37,0.24,22139.0
518,383,56,0.07,18138.0
519,386,61,0.02,15987.0
520,32952,38,0.19,26133.0
521,6382,37,0.2,25902.0
522,4975,37,0.06,28545.0
523,7912,36,0.06,28828.0
524,839,36,0.04,35950.0
525,15851,37,0.15,26337.0
526,10303,37,0.06,27492.0
527,17241,37,0.1,27794.0
528,2818,39,0.06,26617.0
529,9293,37,0.1,27077.0
530,670,36,0.09,24992.0
531,4256,38,0.06,26528.0
532,5555,37,0.08,28094.0
533,9097,39,0.13,30214.0
534,2516,38,0.1,26002.0
535,379,42,0.08,25376.0
536,14792,40,0.13,27936.0
537,2617,38,0.1,27425.0
538,480,38,0.1,27104.0
539,1312,39,0.11,25381.0
540,2265,40,0.1,26852.0
541,281,41,0.08,22644.0
542,8111,36,0.1,28560.0
543,15589,41,0.1,26217.0
544,1498,41,0.05,26072.0
545,40877,39,0.19,26649.0
546,3501,38,0.05,27100.0
547,3079,38,0.05,28287.0
548,1146,42,0.04,27351.0
549,288,45,0.06,20852.0
550,192,59,0.03,16142.0
551,479,52,0.04,18240.0
552,486,46,0.07,20995.0
553,649,48,0.01,16991.0
554,722,57,0.04,16079.0
555,406,57,0.05,17262.0
556,261,59,0.01,17004.0
557,120,55,0.0,16697.0
558,197,55,0.0,22176.0
559,190,56,0.05,17279.0
560,2690,44,0.11,21806.0
561,241,57,0.01,19237.0
562,338,61,0.01,16286.0
563,204,50,0.02,19180.0
564,200,59,0.01,21116.0
565,180,64,0.0,17490.0
566,331,56,0.04,19149.0
567,229,55,0.1,19211.0
568,469,46,0.08,24310.0
569,464,46,0.09,22743.0
570,370,59,0.01,16356.0
571,49,59,0.02,17311.0
572,119,62,0.02,15000.0
573,165,55,0.01,14938.0
574,82,60,0.0,25748.0
575,454,52,0.01,18313.0
576,143,59,0.03,18851.0
577,538,60,0.0,15255.0
578,5359,40,0.1,22061.0
579,5005,40,0.09,21244.0
580,6019,39,0.02,17072.0
581,2444,37,0.01,16804.0
582,537,35,0.03,18271.0
583,5753,41,0.03,16875.0
584,5441,42,0.03,17378.0
585,2192,44,0.13,15946.0
586,313,42,0.06,17105.0
